,Height
3193,72.7266202
1096,75.99995705
769,65.74729799
3073,69.07217688
1436,67.55419805
2281,64.36013556
2596,69.10689826
3251,67.77487038
1893,73.0584631
1738,67.65252997
2167,73.33410764
2563,70.85779432
3363,70.27258232
737,65.31170819
201,72.19751201
1708,68.22761459
863,71.94912042
2943,72.70722408
2910,68.14398254
1524,67.52111716
3414,67.90151493
1437,67.0478396
1723,68.49613344
522,68.92333665
1897,70.93325026
2403,71.00854042
2533,69.14877531
1261,66.38977872
1912,69.78150595
604,70.11434363
1967,69.16246988
703,70.31684922
22,66.14913196
951,67.25995282
3052,69.4264827
433,65.33492768
2846,71.32989784
1063,70.31506637
2792,72.46702493
445,71.43337582
3451,68.57813131
2835,70.82191668
142,66.20603205
2585,68.00008113
2706,72.6291227
2625,63.22282474
977,73.12243321
1131,73.62154397
3383,64.06695656
132,71.44370566
1539,72.70460442
3377,72.35050088
2710,69.01265725
955,66.05763381
1902,61.76450938
1995,66.65949285
1446,69.98995301
2446,68.87487616
724,71.39146448
2719,65.62990179
1004,68.23874539
1769,69.96391207
1175,72.12491003
3273,70.48268138
2022,69.36005929
53,67.33083088
2399,63.73243789
668,69.52555131
3391,69.3292134
969,66.11122914
330,73.92912413
620,65.89275253
1748,70.68624745
417,69.80990157
2287,66.89123829
2847,75.28284701
1074,70.12376143
632,75.03388944
1052,71.33392078
1284,63.87497175
3200,69.88530113
2592,68.74245754
474,69.0494784
1068,66.51004277
1045,63.00004749
2011,67.75177607
66,68.27419147
2515,63.74472687
2144,71.472998
3149,69.64182079
1408,73.57397189
1398,70.25225274
495,72.88170697
830,66.24506481
790,70.89598255
1224,70.47650533
356,70.4909287
1215,68.6712874
1687,73.74875102
2946,68.31918688
1577,60.79888561
1600,66.96893592
2408,68.46437409
2634,65.75939892
2600,67.56494159
1741,71.69388059
771,66.620926
3189,68.45703503
686,70.76919327
2680,65.52238918
1078,68.58935913
279,69.28592141
90,71.81542045
542,68.88599177
1576,71.85748745
3376,65.92495931
3144,72.20120368
2850,70.56945509
1257,66.90121174
3407,70.18702045
2718,67.97467956
1443,69.63396978
2059,71.88350042
3432,69.71017624
2974,60.26719012
3475,72.5418967
615,70.41386903
2078,69.01021935
1277,72.38530097
569,72.50075663
2511,65.60017843
1090,70.15126491
208,70.96655044
938,63.9529284
2260,68.23588615
2601,64.82807152
2086,69.15689413
577,73.98590142
1519,69.7190933
2707,67.19651912
175,66.65616417
922,69.81202171
1299,67.43522768
349,69.19147497
3069,72.19723016
270,72.04988987
766,67.45323124
264,69.32711818
3444,68.23173811
452,69.00467787
607,70.05125469
1686,72.31477541
3319,69.1330814
576,66.04544386
3011,69.35342667
2606,72.30926487
1472,67.84616021
119,71.7057626
1783,70.87698711
213,70.82085671
3265,61.32850178
1503,63.66468751
1717,69.33829795
2824,72.74454456
468,71.28444139
2204,69.71193781
3358,71.30417573
1726,71.03061695
1682,69.9027564
2807,67.96640648
1242,73.12200631
3210,68.68885514
726,74.40818786
3037,73.97251066
3051,70.56336105
814,64.7742374
1438,72.74220916
1973,66.86303976
1165,67.74920685
3369,72.6596287
3142,74.244124
3281,69.57852542
2107,68.27775927
183,66.59215711
229,71.84843485
670,69.47458176
901,71.23052856
3260,62.95115026
1537,68.37997614
366,72.9870702
3378,63.52963424
301,68.43081339
1254,65.41328069
3429,68.31247832
1508,69.92281015
3172,61.62586107
1491,69.72685973
2234,65.07790189
556,71.94401052
891,68.99710986
732,67.7282199
1705,72.05959136
1001,65.07111347
3148,72.87320321
1587,68.24844296
2713,66.97666791
957,69.03106285
1817,72.50942559
1765,68.50326101
2466,68.87477596
1566,66.57488673
42,65.27034552
105,68.73298815
443,66.14106892
2124,72.0893613
822,69.6031034
1529,65.09066143
2299,70.86880751
751,69.10919144
3279,65.6823646
3312,69.35610868
711,75.39129223
2781,70.34949975
3171,64.03775956
3500,72.73897
650,73.10087624
3138,73.43273647
2080,70.41445819
45,70.10478626
3256,68.78471701
1725,68.03117231
778,66.33428146
1965,69.98440497
1764,64.90984533
1554,71.14104788
1891,68.79205081
3090,74.11230421
3460,67.41486082
996,70.02684189
2598,65.55142428
3334,63.77486282
1421,68.36806631
1235,71.9674817
1046,71.75812504
2195,67.3500077
1455,67.59189464
3062,70.06592968
2304,63.47241419
2246,65.1939877
1238,60.36331156
3029,68.84301209
1345,71.77574885
1272,70.43475028
3161,64.79045114
2334,59.38064956
1659,69.01116064
138,68.09621975
1699,71.56525646
3368,72.31817209
2136,67.6727949
3232,67.38315251
2549,72.08810651
1194,68.54104219
1012,68.6739597
1027,65.93964742
784,70.09723765
743,69.76508744
2506,66.47328059
3228,76.26866786
1439,68.35616535
1974,70.86686943
2383,71.50520627
2415,68.92530884
390,64.99507826
1073,65.79795305
609,72.83673969
1441,74.20921595
963,68.98238073
2908,67.40595053
2177,66.7821873
1840,66.48892899
3441,67.174572
432,68.92104135
3234,72.72060324
562,66.94445374
1633,71.46975833
2128,69.37565771
1629,67.74549287
3091,69.00153742
3330,72.76171062
1782,67.8417924
242,67.24606495
1997,67.00648013
174,66.06513673
2178,69.45413595
3178,71.89066467
2615,68.48707761
993,68.41565126
935,74.08027495
2324,61.22682866
1763,66.01759167
2570,72.68851411
1979,63.11825358
466,66.97694995
325,68.59666269
1733,71.08909566
707,69.57823897
2558,71.21207602
2206,72.25407145
3344,68.50781172
2711,64.96634668
1750,74.60466805
874,67.14815944
980,70.72475802
2667,68.005429
1056,71.91022602
103,68.32844799
1669,71.67843022
2517,64.56436382
2004,69.43764789
608,71.83316878
1985,68.32437947
3321,74.06687892
2809,62.94868151
943,62.80419071
298,71.41894599
2318,76.80634364
1196,66.88781934
1540,73.73792828
1313,67.61221973
669,66.45560214
220,68.12276836
139,68.14059036
3084,65.91497066
2410,68.98828681
1409,68.1679352
2685,65.67839007
2368,70.46201292
1837,71.89704464
667,68.36860332
2298,71.35320878
1145,72.28040043
209,67.58074728
112,71.6070858
2588,66.7379274
2425,70.03067329
767,68.1699946
2759,70.30977776
346,71.41904963
1018,66.99786196
166,66.26282004
2439,69.01627479
2854,72.35824904
2518,71.99317364
1565,68.09887366
2311,71.72349062
3294,66.73363406
2473,66.01495833
716,70.71371409
1650,67.70035802
80,67.57715394
3151,67.38313598
2881,69.16318774
161,68.7489067
2806,62.4768027
2764,73.83892928
1488,65.35188896
34,69.57720237
3155,68.93072908
41,72.18942596
2482,64.60280743
3324,67.25038326
3427,67.98961206
3490,69.13988022
2364,69.74264212
2434,68.72060845
1449,69.5595272
2978,69.0173776
941,69.65975352
799,67.11044742
1963,68.87855263
2306,64.4645503
1920,63.05530147
2471,72.96316116
1158,70.83455355
2937,70.4389286
63,66.99688275
3036,69.91509254
33,69.1801611
1387,68.4078482
2433,69.37416119
1889,67.6758559
3463,66.34274252
1148,65.43505946
1904,71.4777451
1357,66.12013432
1559,71.6499171
379,64.67107555
816,67.93338384
798,65.72603205
593,65.54407625
986,69.97228132
114,67.26196098
1713,69.26513962
1294,67.12928651
2173,69.26275904
3298,69.81609947
20,67.91505019
3177,71.54108225
2442,68.96436673
988,74.27201865
3019,64.98809012
2628,70.4157304
1510,67.98597514
2303,72.73859251
2313,67.58112659
2629,70.09857714
3181,70.96261712
883,73.03840861
196,67.25332482
1358,73.81524583
